epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,0.549436,5.74635,6.44123,1.99809,0,0,0,0,5.01508,6.48366,1.99302,0,0,0
2,0.856959,4.37531,6.25979,2.64966,0,0,0,0,4.90967,6.41616,1.98078,8.28877e-06,8.28877e-06,8.28877e-06
3,2.38614,5.16576,6.4446,2.60623,0,0,0,0,5.08195,6.29571,1.98807,1.64951e-05,1.64951e-05,1.64951e-05
4,5.90694,5.19629,6.16425,2.40324,0,0,0,0,5.20358,6.19271,2.01241,2.46189e-05,2.46189e-05,2.46189e-05
5,10.4531,4.71157,6.70602,2.4352,0,0,0,0,4.90638,5.82357,1.88861,3.26603e-05,3.26603e-05,3.26603e-05
6,15.344,5.21621,6.55083,3.01652,0,0,0,0,4.75964,5.82617,1.84001,4.06192e-05,4.06192e-05,4.06192e-05
7,21.9309,4.21889,8.15009,1.90873,0,0,0,0,4.85937,5.79905,1.85592,4.84956e-05,4.84956e-05,4.84956e-05
8,25.7068,5.03422,5.57285,2.93525,0,0,0,0,4.94504,5.63284,1.86435,5.62896e-05,5.62896e-05,5.62896e-05
9,31.144,5.21066,5.46789,1.99134,0,0,0,0,4.94504,5.63284,1.86435,6.40011e-05,6.40011e-05,6.40011e-05
10,35.6416,5.21056,5.61771,2.77854,0,0,0,0,4.83424,5.46289,1.80134,7.16301e-05,7.16301e-05,7.16301e-05
11,42.9098,5.22312,5.32996,2.35087,0,0,0,0,4.83424,5.46289,1.80134,7.91766e-05,7.91766e-05,7.91766e-05
12,48.7349,5.78029,7.88975,1.81818,0,0,0,0,4.73051,5.43901,1.80726,8.66407e-05,8.66407e-05,8.66407e-05
13,52.2786,5.2912,5.76281,2.74593,0,0,0,0,4.73051,5.43901,1.80726,9.40224e-05,9.40224e-05,9.40224e-05
14,57.6175,4.45017,6.62916,3.18461,0,0,0,0,4.81302,5.23349,1.85582,0.000101322,0.000101322,0.000101322
15,64.0859,5.07572,6.08715,2.58768,0,0,0,0,4.81302,5.23349,1.85582,0.000108538,0.000108538,0.000108538
16,69.2801,3.88906,4.21087,2.16605,0,0,0,0,4.7511,5.45131,1.93919,0.000115672,0.000115672,0.000115672
17,76.1592,4.343,4.43247,2.57538,0,0,0,0,4.7511,5.45131,1.93919,0.000122724,0.000122724,0.000122724
18,81.4634,4.88218,4.35201,1.83657,0,0,0,0,4.96792,5.76628,1.99909,0.000129694,0.000129694,0.000129694
19,86.3126,4.16022,4.81901,2.15712,0,0,0,0,4.96792,5.76628,1.99909,0.00013658,0.00013658,0.00013658
20,90.1019,4.85879,4.31678,2.27337,0.00029,0.03125,0.00018,5e-05,4.56403,7.75362,2.03089,0.000143385,0.000143385,0.000143385
21,97.7097,4.23216,4.09145,1.98924,0.00029,0.03125,0.00018,5e-05,4.56403,7.75362,2.03089,0.000150107,0.000150107,0.000150107
